,index,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website
68,147,Showdown,https://www.skiresort.info/ski-resort/showdown/,47.0,White Sulphur Springs,Montana,20.0,6.0,8.0,6.0,"{-110.70831932358078,46.836084195414834}",Montana,Unknown
69,148,Cascade Mountain,https://www.skiresort.info/ski-resort/cascade-mountain/,69.0,Empty,Wisconsin,14.0,5.0,5.0,4.0,"{-89.51606772903223,43.499764819354844}",Wisconsin,Unknown
70,149,Cascade Mountain,https://www.skiresort.info/ski-resort/cascade-mountain/,69.0,Empty,Wisconsin,14.0,5.0,5.0,4.0,"{-80.66531181335394,36.661525482754}",Virginia,http://www.dcski.com/lostareas/viewlostprofile.php?id=8
71,150,Cherry Peak,https://www.skiresort.info/ski-resort/cherry-peak/,40.0,Logan,Utah,20.0,5.0,10.0,5.0,"{-111.75468453014086,41.92171100225353}",Utah,http://skicpr.com/index.html
72,151,Seven Springs,https://www.skiresort.info/ski-resort/seven-springs/,89.0,Champion,Pennsylvania,17.0,6.0,7.0,4.0,"{-79.30402658849933,40.02350977910237}",Pennsylvania,Unknown
73,154,Burke Mountain,https://www.skiresort.info/ski-resort/burke-mountain/,73.0,Saint Johnsbury,Vermont,10.0,2.0,4.0,4.0,"{-71.89855394825985,44.579065158584804}",Vermont,http://www.skiburke.com/
74,156,Eagle Point,https://www.skiresort.info/ski-resort/eagle-point/,70.0,Beaver,Utah,20.0,6.0,9.0,5.0,"{-112.37800063523929,38.322839445457475}",Utah,http://www.skieaglepoint.com
75,160,Spirit Mountain,https://www.skiresort.info/ski-resort/spirit-mountain/,59.0,Duluth,Minnesota,11.0,4.0,5.0,2.0,"{-92.23326581159606,46.70776608553612}",Minnesota,http://www.spiritmt.com/
76,162,Arctic Valley,https://www.skiresort.info/ski-resort/arctic-valley/,45.0,Anchorage,Alaska,25.0,5.0,10.0,10.0,"{-149.52539031332284,61.24460151598595}",Alaska,http://www.skiarctic.net
77,163,Shawnee Mountain,https://www.skiresort.info/ski-resort/shawnee-mountain/,65.0,Stroudsburg,Pennsylvania,18.0,4.0,9.0,5.0,"{-75.07815825426358,41.03619038449615}",Pennsylvania,https://www.shawneemt.com/
78,166,Kissing Bridge,https://www.skiresort.info/ski-resort/kissing-bridge/,60.0,Boston,Greater Niagara,17.8,4.5,4.8,8.5,"{-78.65601084202274,42.602269476055376}",New York,Unknown
79,168,Hoodoo Ski Area,https://www.skiresort.info/ski-resort/hoodoo-ski-area/,59.0,Sisters,Oregon,17.0,6.0,8.0,3.0,"{-121.87199999999999,44.409}",Oregon,Unknown
80,171,Snowy Range,https://www.skiresort.info/ski-resort/snowy-range/,49.0,Centennial,Wyoming,16.5,4.5,9.0,3.0,"{-106.18001008339684,41.33759991164122}",Unknown,Unknown
81,173,Boyne Mountain,https://www.skiresort.info/ski-resort/boyne-mountain/,98.0,Boyne Falls,Michigan,14.0,4.5,6.0,3.5,"{-84.94010068596937,45.16371656492347}",Michigan,Unknown
82,174,Blue Knob,https://www.skiresort.info/ski-resort/blue-knob/,75.0,Altoona,Pennsylvania,16.0,5.0,8.0,3.0,"{-78.55926771364906,40.293710702228424}",Pennsylvania,http://www.blueknob.com/
83,176,Labrador Mountain,https://www.skiresort.info/ski-resort/labrador-mountain/,61.0,Tully,Finger Lakes,17.0,6.0,6.0,5.0,"{-76.03824443738323,42.73683617033067}",New York,https://www.skicny.com/labrador/
84,178,Middlebury College Snow Bowl,https://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,60.0,Hancock,Vermont,15.0,5.0,4.0,6.0,"{-72.95673237563027,43.93272784537817}",Vermont,Unknown
85,180,Sipapu,https://www.skiresort.info/ski-resort/sipapu/,55.0,Vadito,New Mexico,18.0,3.0,7.0,8.0,"{-105.55222420853926,36.150093892808954}",New Mexico,Unknown
86,190,Song Mountain,https://www.skiresort.info/ski-resort/song-mountain/,59.0,Tully,Finger Lakes,13.0,4.5,6.0,2.5,"{-76.16071766552183,42.77205470274995}",New York,Unknown
87,191,Crotched Mountain,https://www.skiresort.info/ski-resort/crotched-mountain/,69.0,Keene,New Hampshire,8.0,2.5,4.0,1.5,"{-71.87898794152541,43.00691872796608}",Unknown,https://www.crotchedmtn.com/
88,193,Loup Loup Ski Bowl,https://www.skiresort.info/ski-resort/loup-loup-ski-bowl/,50.0,Twisp,Washington State,11.0,3.0,5.0,3.0,"{-119.91890274387754,48.39162365408163}",Unknown,http://www.skitheloup.com
89,196,Tahoe Donner,https://www.skiresort.info/ski-resort/tahoe-donner/,89.0,Truckee,Lake Tahoe,14.0,6.0,8.0,0.0,"{-120.26408286891387,39.35085376104871}",Unknown,http://www.tahoedonner.com/
90,197,Big Powderhorn Mountain,https://www.skiresort.info/ski-resort/big-powderhorn-mountain/,69.0,Bessemer,Michigan,10.0,3.5,3.5,3.0,"{-90.05136999999999,46.48117}",Michigan,https://bigpowderhorn.net/
91,200,Bromley Mountain,https://www.skiresort.info/ski-resort/bromley-mountain/,91.0,Manchester,Vermont,45.0,15.0,18.0,12.0,"{-72.93778544525041,43.221144172366124}",Vermont,Unknown
92,203,Suicide Six,https://www.skiresort.info/ski-resort/suicide-six/,75.0,Woodstock,Vermont,10.5,3.5,4.0,3.0,"{-72.54683679447515,43.66287666988949}",Vermont,https://www.woodstockinn.com/ski-area
93,179,Pomerelle,https://www.skiresort.info/ski-resort/pomerelle/,45.0,Malta,Idaho,15.0,4.0,7.0,4.0,,,
94,210,Soda Springs,https://www.skiresort.info/ski-resort/soda-springs/,54.0,Truckee,Lake Tahoe,10.0,3.0,5.0,2.0,"{-120.38440964516117,39.318886009677435}",California,http://www.skisodasprings.com
95,211,Mt. Waterman,https://www.skiresort.info/ski-resort/mt-waterman/,60.0,La Cañada Flintridge,California,10.0,2.0,2.0,6.0,"{-117.9306302030074,34.34679747479021}",California,http://www.mtwaterman.org/
96,215,Liberty Mountain,https://www.skiresort.info/ski-resort/liberty-mountain/,77.0,Fairfield,Pennsylvania,9.0,3.0,4.0,2.0,"{-77.3684002381818,39.75936344272728}",Pennsylvania,Unknown
97,216,Marquette Mountain,https://www.skiresort.info/ski-resort/marquette-mountain/,54.0,Marquette,Michigan,10.0,1.5,5.0,3.5,"{-87.42100963404259,46.504952516170206}",Michigan,Unknown
98,217,Anthony Lakes Mountain Resort,https://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,40.0,Baker City,Oregon,10.0,2.0,3.8,4.2,"{-118.2399260405556,44.96044044777777}",Oregon,https://anthonylakes.com/
99,218,Anthony Lakes Mountain Resort,https://www.skiresort.info/ski-resort/anthony-lakes-mountain-resort/,40.0,Baker City,Oregon,10.0,2.0,3.8,4.2,"{-118.2348,44.9637}",Oregon,Unknown
100,220,Big Squaw,https://www.skiresort.info/ski-resort/big-squaw/,30.0,Bangor,Maine,8.0,3.0,3.0,2.0,"{-69.70281991142855,45.50191943047622}",Maine,http://www.skibigsquaw.com/
101,221,Mohawk Mountain,https://www.skiresort.info/ski-resort/mohawk-mountain/,67.0,Cornwall,Connecticut,8.0,3.0,2.0,3.0,"{-73.31028392903228,41.834759101612924}",Unknown,http://www.mohawkmtn.com/
102,222,Bear Paw Ski Bowl,https://www.skiresort.info/ski-resort/bear-paw-ski-bowl/,25.0,Havre,Montana,10.0,3.0,6.0,1.0,"{-109.67016220093,48.164196239666}",Montana,http://skibearpaw.com/
103,226,Royal Mountain,https://www.skiresort.info/ski-resort/royal-mountain/,45.0,Caroga Lake,Capital-Saratoga Region,7.5,2.5,3.0,2.0,"{-74.50704627449666,43.083763409395985}",New York,Unknown
104,230,Hesperus Ski Area,https://www.skiresort.info/ski-resort/hesperus-ski-area/,39.0,Durango,Colorado,10.0,3.0,5.0,2.0,"{-108.05749023579551,37.296471016477305}",Unknown,http://ski-hesperus.com/
105,235,Mt. Lemmon Ski Valley,https://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,47.0,Summerhaven,Arizona,8.5,2.5,4.0,2.0,"{-110.78071393510359,32.44556556186747}",Arizona,http://www.skithelemmon.com/
106,237,Norway Mountain,https://www.skiresort.info/ski-resort/norway-mountain/,Empty,Norway,Michigan,8.0,2.5,3.5,2.0,"{-87.86855870907,45.79081623434654}",Michigan,
107,240,Ski Brule,https://www.skiresort.info/ski-resort/ski-brule/,55.0,Iron River,Michigan,7.5,2.0,4.0,1.5,"{-88.70555992912088,46.02833367252754}",Michigan,Unknown
108,241,Ski Brule,https://www.skiresort.info/ski-resort/ski-brule/,55.0,Iron River,Michigan,7.5,2.0,4.0,1.5,"{-88.699285,46.02907200000001}",Michigan,Unknown
109,244,Hogadon Ski Area,https://www.skiresort.info/ski-resort/hogadon-ski-area/,Empty,Casper,Wyoming,5.0,1.9,1.6,1.5,"{-106.33942777777997,42.744961111110996}",Wyoming,Unknown
110,247,Camden Snow Bowl,https://www.skiresort.info/ski-resort/camden-snow-bowl/,43.0,Camden,Maine,6.0,1.2,3.6,1.2,"{-69.13713665332952,44.21480709886363}",Maine,http://www.camdensnowbowl.com/
111,249,Snow Trails,https://www.skiresort.info/ski-resort/snow-trails/,52.0,Mansfield,Ohio,5.3,1.5,2.8,1.0,"{-82.50172101875,40.67106308125001}",Ohio,Unknown
112,250,Mt. Eyak,https://www.skiresort.info/ski-resort/mt-eyak/,30.0,Cordova,Alaska,5.0,1.0,2.0,2.0,"{-145.7413144808988,60.55140542528095}",Alaska,Unknown
113,254,Paoli Peaks,https://www.skiresort.info/ski-resort/paoli-peaks/,45.0,Paoli,Indiana,6.6,2.6,3.0,1.0,"{-86.5111181,38.55693147857143}",Unknown,http://www.paolipeaks.com/
114,255,Mad River Mountain,https://www.skiresort.info/ski-resort/mad-river-mountain/,49.0,Zanesfield,Ohio,6.3,3.0,2.0,1.3,"{-83.67607720526314,40.31613978157895}",Ohio,Unknown
