,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len,geometry,state,website,Latitude,Longtitude,date,time,weather_lat,weather_lon,temperature,feels_like,temp_min,temp_max,temp_description,humidity,cloudiness,wind_speed,daily_chance_snow,hourly_chance_snow
67,Snowbasin,https://www.skiresort.info/ski-resort/snowbasin/,135.0,Huntsville (Utah),Utah,48.0,5.0,28.0,15.0,"[-111.86105313110127, 41.19940921279766]",,http://www.snowbasin.com/,-111.86105313110127,41.19940921279766,,,,,,,,,,,,,,
68,Loon Mountain,https://www.skiresort.info/ski-resort/loon-mountain/,104.0,Lincoln,New Hampshire,45.0,13.0,26.0,6.0,"[-71.63237615371992, 44.045973468819]",,,-71.63237615371992,44.045973468819,02/23/21,22:42:00,40.8,-96.667,42.98000000000004,33.13399999999999,39.00200000000007,46.4,clear sky,57.0,1.0,4.63,0.0,0.0
69,Apache,https://www.skiresort.info/ski-resort/apache/,74.0,Ruidoso,New Mexico,55.0,12.0,18.0,25.0,,,,,,02/23/21,21:42:00,33.3317,-105.67299999999999,48.2,34.10600000000003,48.2,48.2,clear sky,13.0,1.0,6.17,0.0,0.0
70,Hunter Mountain,https://www.skiresort.info/ski-resort/hunter-mountain/,91.0,Tannersville,The Catskills,55.0,18.0,18.0,19.0,"[-74.22299654540444, 42.20224480588236]",New York,http://www.huntermtn.com/,-74.22299654540444,42.20224480588236,02/23/21,23:42:00,41.0401,-75.3057,35.78000000000005,22.67600000000009,33.008,39.992,clear sky,75.0,1.0,7.2,0.0,0.0
71,Tamarack Resort,https://www.skiresort.info/ski-resort/tamarack-resort/,100.0,Donnelly,Idaho,42.0,12.0,20.0,10.0,"[-116.14289420041456, 44.681993244217395]",Idaho,http://www.tamarackidaho.com,-116.14289420041456,44.681993244217395,02/23/21,21:42:00,55.7293,-117.1095,23.954000000000054,7.178000000000066,19.994000000000074,28.4,light snow,80.0,90.0,9.26,10.0,0.0
72,Windham Mountain,https://www.skiresort.info/ski-resort/windham-mountain/,98.0,Windham,The Catskills,46.0,20.0,16.0,10.0,"[-74.257278442383, 42.292548351430014]",New York,,-74.257278442383,42.292548351430014,02/23/21,23:42:00,41.8334,-72.0001,38.21000000000008,29.06600000000001,37.004000000000055,39.2,overcast clouds,70.0,90.0,4.12,9.0,24.0
73,Arizona Snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,99.0,Flagstaff,Arizona,37.0,12.0,14.0,11.0,"[-111.6985322631388, 35.33008002062042]",Arizona,http://www.arizonasnowbowl.com,-111.6985322631388,35.33008002062042,02/23/21,21:42:00,35.1981,-111.6513,37.43600000000007,30.452000000000076,35.006000000000036,42.008,clear sky,48.0,1.0,1.54,0.0,0.0
74,Mt. Hood Skibowl,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,59.0,Government Camp,Oregon,65.0,15.0,15.0,35.0,,,,,,02/23/21,20:42:00,45.3041,-121.7548,28.778000000000066,16.682000000000016,19.00400000000005,35.996000000000045,snow,94.0,100.0,6.26,97.0,98.0
75,Grand Targhee,https://www.skiresort.info/ski-resort/grand-targhee/,110.0,Driggs,Wyoming,35.0,5.0,15.0,15.0,,,,,,02/23/21,23:42:00,43.7233,-111.1113,14.954000000000056,6.152000000000078,12.2,19.4,light snow,92.0,75.0,2.57,0.0,0.0
76,Holiday Valley,https://www.skiresort.info/ski-resort/holiday-valley/,85.0,Ellicottville,Chautauqua-Allegheny,48.0,16.0,13.0,19.0,,,,,,02/23/21,23:42:00,42.2751,-78.6728,32.66600000000001,25.952000000000076,32.0,33.008,broken clouds,100.0,75.0,2.57,78.0,88.0
77,Stevens Pass,https://www.skiresort.info/ski-resort/stevens-pass/,100.0,Skykomish,Washington State,39.0,6.0,18.0,15.0,,,,,,,,,,,,,,,,,,,
78,Cannon Mountain,https://www.skiresort.info/ski-resort/cannon-mountain/,79.0,Franconia,New Hampshire,50.0,15.0,25.0,10.0,"[-71.70194662723318, 44.169800364705864]",,http://www.cannonmt.com/,-71.70194662723318,44.169800364705864,02/23/21,23:42:00,38.7821,-77.1464,37.58000000000004,31.604000000000052,33.8,41.0,clear sky,80.0,1.0,1.91,0.0,0.0
79,Lutsen Mountains,https://www.skiresort.info/ski-resort/lutsen-mountains/,84.0,Lutsen,Minnesota,40.0,8.0,19.0,13.0,"[-90.71958907484105, 47.6575728382465]",Minnesota,http://www.lutsen.com,-90.71958907484105,47.6575728382465,02/23/21,22:42:00,47.6471,-90.6749,30.632000000000016,23.68399999999999,28.00400000000005,35.6,overcast clouds,64.0,90.0,1.54,11.0,0.0
80,Eldora Mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,129.0,Nederland,Colorado,52.0,11.0,26.0,15.0,,,,,,02/23/21,22:42:00,29.9744,-93.9924,54.122000000000035,49.694000000000074,53.6,55.4,clear sky,94.0,1.0,4.12,0.0,0.0
81,Loveland,https://www.skiresort.info/ski-resort/loveland/,89.0,Silverthorne,Colorado,93.0,12.0,38.0,43.0,"[-105.90439419992143, 39.677877686970156]",,http://www.skiloveland.com/,-105.90439419992143,39.677877686970156,02/23/21,21:42:00,39.6321,-106.0743,15.116000000000007,0.6980000000000253,10.4,19.4,light snow,68.0,1.0,6.69,19.0,0.0
82,Pico Mountain,https://www.skiresort.info/ski-resort/pico-mountain/,85.0,Killington,Vermont,30.4,5.4,14.0,11.0,"[-72.8402508108209, 43.65144701753737]",Vermont,,-72.8402508108209,43.65144701753737,02/23/21,04:42:00,54.295,-2.5947,49.73000000000004,46.63399999999999,46.994000000000064,51.99800000000002,moderate rain,96.0,100.0,2.24,0.0,0.0
